
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
connected to 12 workers.
>> >> >> >> >> >> >> >> bgc1d_iteration - cost : 0.0025034
  n=18: (6,12)-CMA-ES(w=[40 25 17 10 6 2]%, mu_eff=3.7) on function bgc1d_fc2minimize_cmaes_parallel
bgc1d_iteration - cost : 62500.0064
bgc1d_iteration - cost : 0.0026065
bgc1d_iteration - cost : 0.0025749
bgc1d_iteration - cost : 0.0028783
bgc1d_iteration - cost : 0.0027703
bgc1d_iteration - cost : 0.0026238
bgc1d_iteration - cost : 0.002552
bgc1d_iteration - cost : 0.0027273
bgc1d_iteration - cost : 0.0026233
bgc1d_iteration - cost : 0.015578
bgc1d_iteration - cost : 0.0026163
bgc1d_iteration - cost : 0.0052339
Iterat, #Fevals:   Function Value    (median,worst) |Axis Ratio|idx:Min SD idx:Max SD
    1 ,     13 : 2.5519869722619e-03 +(1e-04,6e+04) | 1.04e+00 | 10:2.6e-01 16:2.7e-01
bgc1d_iteration - cost : 0.0029565
bgc1d_iteration - cost : 0.015318
bgc1d_iteration - cost : 0.0026037
bgc1d_iteration - cost : 0.0025792
bgc1d_iteration - cost : 0.0025997
bgc1d_iteration - cost : 0.0044318
bgc1d_iteration - cost : 0.0024535
bgc1d_iteration - cost : 0.0026142
bgc1d_iteration - cost : 0.0026226
bgc1d_iteration - cost : 0.0026228
bgc1d_iteration - cost : 0.0026234
bgc1d_iteration - cost : 0.0026233
    2 ,     25 : 2.4535165360587e-03 +(2e-04,1e-02) | 1.05e+00 | 10:2.5e-01 11:2.5e-01
bgc1d_iteration - cost : 0.0025785
bgc1d_iteration - cost : 0.0025359
bgc1d_iteration - cost : 0.0027722
bgc1d_iteration - cost : 0.0025955
bgc1d_iteration - cost : 0.0026229
bgc1d_iteration - cost : 0.0025922
bgc1d_iteration - cost : 0.0025918
bgc1d_iteration - cost : 0.0025842
bgc1d_iteration - cost : 0.0026234
bgc1d_iteration - cost : 0.0026234
bgc1d_iteration - cost : 0.0092374
bgc1d_iteration - cost : 0.0026102
bgc1d_iteration - cost : 0.0025932
bgc1d_iteration - cost : 0.0025542
bgc1d_iteration - cost : 0.002591
bgc1d_iteration - cost : 0.0025487
bgc1d_iteration - cost : 0.0025759
bgc1d_iteration - cost : 0.0026244
bgc1d_iteration - cost : 0.0025637
bgc1d_iteration - cost : 0.0026232
bgc1d_iteration - cost : 0.0025988
bgc1d_iteration - cost : 0.0040345
bgc1d_iteration - cost : 0.0026164
bgc1d_iteration - cost : 0.004348
bgc1d_iteration - cost : 0.0025983
bgc1d_iteration - cost : 0.0025945
bgc1d_iteration - cost : 0.0025845
bgc1d_iteration - cost : 0.0026169
bgc1d_iteration - cost : 0.0026076
bgc1d_iteration - cost : 0.0025951
bgc1d_iteration - cost : 0.0025894
bgc1d_iteration - cost : 0.0025818
bgc1d_iteration - cost : 0.0036372
bgc1d_iteration - cost : 0.0026095
bgc1d_iteration - cost : 0.0026196
bgc1d_iteration - cost : 0.0025316
bgc1d_iteration - cost : 0.0026056
bgc1d_iteration - cost : 0.0025808
bgc1d_iteration - cost : 0.0026971
bgc1d_iteration - cost : 0.0026857
bgc1d_iteration - cost : 0.0025681
bgc1d_iteration - cost : 0.0025854
bgc1d_iteration - cost : 0.0025883
bgc1d_iteration - cost : 0.0024573
bgc1d_iteration - cost : 0.0025908
bgc1d_iteration - cost : 0.0025221
bgc1d_iteration - cost : 0.002485
bgc1d_iteration - cost : 0.0026791
bgc1d_iteration - cost : 0.0024876
bgc1d_iteration - cost : 0.0025932
bgc1d_iteration - cost : 0.0070754
bgc1d_iteration - cost : 0.0024594
bgc1d_iteration - cost : 0.0070153
bgc1d_iteration - cost : 0.010447
bgc1d_iteration - cost : 0.0026208
bgc1d_iteration - cost : 0.021918
bgc1d_iteration - cost : 0.016266
bgc1d_iteration - cost : 0.0024908
bgc1d_iteration - cost : 0.002877
bgc1d_iteration - cost : 0.0024635
bgc1d_iteration - cost : 0.0025787
bgc1d_iteration - cost : 0.0032345
bgc1d_iteration - cost : 0.0025682
bgc1d_iteration - cost : 0.0026775
bgc1d_iteration - cost : 0.0082822
bgc1d_iteration - cost : 0.018358
bgc1d_iteration - cost : 0.014114
bgc1d_iteration - cost : 0.0025865
bgc1d_iteration - cost : 0.037805
bgc1d_iteration - cost : 0.0029642
bgc1d_iteration - cost : 0.0025812
bgc1d_iteration - cost : 0.0053384
bgc1d_iteration - cost : 0.0025474
bgc1d_iteration - cost : 0.0035188
bgc1d_iteration - cost : 0.0025863
bgc1d_iteration - cost : 0.0025772
bgc1d_iteration - cost : 0.0026178
bgc1d_iteration - cost : 0.0025597
bgc1d_iteration - cost : 0.0025337
bgc1d_iteration - cost : 0.0025675
bgc1d_iteration - cost : 0.0025637
bgc1d_iteration - cost : 0.003257
bgc1d_iteration - cost : 0.0024655
bgc1d_iteration - cost : 0.0025848
bgc1d_iteration - cost : 0.002546
bgc1d_iteration - cost : 0.0025519
bgc1d_iteration - cost : 0.0025474
bgc1d_iteration - cost : 0.0041737
bgc1d_iteration - cost : 0.0089147
bgc1d_iteration - cost : 0.0026219
bgc1d_iteration - cost : 0.0064641
bgc1d_iteration - cost : 0.0036671
bgc1d_iteration - cost : 0.0059147
bgc1d_iteration - cost : 0.0025821
bgc1d_iteration - cost : 0.0026008
bgc1d_iteration - cost : 0.0057157
bgc1d_iteration - cost : 0.0024655
bgc1d_iteration - cost : 0.0025359
bgc1d_iteration - cost : 0.0025566
bgc1d_iteration - cost : 0.0025786
bgc1d_iteration - cost : 0.0025533
bgc1d_iteration - cost : 0.0025303
bgc1d_iteration - cost : 0.0026185
bgc1d_iteration - cost : 62500.002
bgc1d_iteration - cost : 0.0025088
bgc1d_iteration - cost : 0.0025786
bgc1d_iteration - cost : 0.0031789
bgc1d_iteration - cost : 0.0025666
bgc1d_iteration - cost : 0.0024466
bgc1d_iteration - cost : 0.0025581
bgc1d_iteration - cost : 0.0025432
bgc1d_iteration - cost : 0.0024805
bgc1d_iteration - cost : 0.0025957
bgc1d_iteration - cost : 0.0025141
bgc1d_iteration - cost : 0.0025232
bgc1d_iteration - cost : 0.0024943
bgc1d_iteration - cost : 0.0025072
bgc1d_iteration - cost : 0.0033258
bgc1d_iteration - cost : 0.010598
bgc1d_iteration - cost : 62500.0033
bgc1d_iteration - cost : 0.0025839
bgc1d_iteration - cost : 0.0031072
bgc1d_iteration - cost : 0.0025787
bgc1d_iteration - cost : 0.0026216
bgc1d_iteration - cost : 0.0050343
bgc1d_iteration - cost : 0.0025815
bgc1d_iteration - cost : 0.0025553
bgc1d_iteration - cost : 0.0026198
bgc1d_iteration - cost : 0.0024986
bgc1d_iteration - cost : 0.0025075
bgc1d_iteration - cost : 0.0025785
bgc1d_iteration - cost : 0.0025218
bgc1d_iteration - cost : 0.002513
bgc1d_iteration - cost : 0.003396
bgc1d_iteration - cost : 0.0054575
bgc1d_iteration - cost : 0.0025785
bgc1d_iteration - cost : 0.0025298
bgc1d_iteration - cost : 0.0027072
bgc1d_iteration - cost : 0.0024825
bgc1d_iteration - cost : 0.0024321
bgc1d_iteration - cost : 0.0078347
bgc1d_iteration - cost : 0.009548
bgc1d_iteration - cost : 0.011738
bgc1d_iteration - cost : 0.0024307
bgc1d_iteration - cost : 0.0024627
bgc1d_iteration - cost : 0.0043026
bgc1d_iteration - cost : 0.0026016
bgc1d_iteration - cost : 0.0024923
bgc1d_iteration - cost : 0.0025119
bgc1d_iteration - cost : 0.0025626
bgc1d_iteration - cost : 0.011053
bgc1d_iteration - cost : 0.0025751
bgc1d_iteration - cost : 0.0024669
bgc1d_iteration - cost : 0.004886
bgc1d_iteration - cost : 0.0028355
bgc1d_iteration - cost : 0.0027954
bgc1d_iteration - cost : 0.0025368
bgc1d_iteration - cost : 0.0024742
bgc1d_iteration - cost : 0.0025485
bgc1d_iteration - cost : 0.0025115
bgc1d_iteration - cost : 0.0039568
bgc1d_iteration - cost : 0.0025379
bgc1d_iteration - cost : 0.0039571
bgc1d_iteration - cost : 0.0025258
bgc1d_iteration - cost : 0.0035715
bgc1d_iteration - cost : 0.005383
bgc1d_iteration - cost : 0.013137
bgc1d_iteration - cost : 0.0058084
bgc1d_iteration - cost : 0.0025671
bgc1d_iteration - cost : 0.0024948
bgc1d_iteration - cost : 0.0080779
bgc1d_iteration - cost : 0.0025785
bgc1d_iteration - cost : 0.0024933
bgc1d_iteration - cost : 0.0025786
bgc1d_iteration - cost : 0.0041467
bgc1d_iteration - cost : 0.0025895
bgc1d_iteration - cost : 0.0026215
bgc1d_iteration - cost : 0.0025785
bgc1d_iteration - cost : 0.0027621
bgc1d_iteration - cost : 0.0025826
bgc1d_iteration - cost : 0.0025827
bgc1d_iteration - cost : 0.0029173
bgc1d_iteration - cost : 0.0053678
bgc1d_iteration - cost : 0.0025922
bgc1d_iteration - cost : 0.0025083
bgc1d_iteration - cost : 0.0030357
bgc1d_iteration - cost : 0.0040623
bgc1d_iteration - cost : 0.002569
bgc1d_iteration - cost : 0.0025697
bgc1d_iteration - cost : 0.0025229
bgc1d_iteration - cost : 0.013071
bgc1d_iteration - cost : 0.0025985
bgc1d_iteration - cost : 0.0025623
bgc1d_iteration - cost : 0.011503
bgc1d_iteration - cost : 0.0025836
bgc1d_iteration - cost : 0.0029183
bgc1d_iteration - cost : 0.0025055
bgc1d_iteration - cost : 0.0025044
bgc1d_iteration - cost : 0.0025785
bgc1d_iteration - cost : 0.0026175
bgc1d_iteration - cost : 0.0025384
bgc1d_iteration - cost : 0.0025786
bgc1d_iteration - cost : 0.0025786
bgc1d_iteration - cost : 0.0025786
bgc1d_iteration - cost : 0.0024979
bgc1d_iteration - cost : 0.0025786
bgc1d_iteration - cost : 0.0025337
bgc1d_iteration - cost : 0.0025193
bgc1d_iteration - cost : 0.0025285
bgc1d_iteration - cost : 0.0025189
bgc1d_iteration - cost : 0.0029702
bgc1d_iteration - cost : 0.041336
bgc1d_iteration - cost : 0.0025786
bgc1d_iteration - cost : 0.0025786
bgc1d_iteration - cost : 0.0024587
bgc1d_iteration - cost : 0.0026177
bgc1d_iteration - cost : 0.0041964
bgc1d_iteration - cost : 0.0024925
bgc1d_iteration - cost : 0.0025008
bgc1d_iteration - cost : 0.0024997
bgc1d_iteration - cost : 0.0025713
bgc1d_iteration - cost : 0.0025482
bgc1d_iteration - cost : 0.0025433
bgc1d_iteration - cost : 0.0025786
bgc1d_iteration - cost : 0.002516
bgc1d_iteration - cost : 0.0031338
bgc1d_iteration - cost : 0.0031061
bgc1d_iteration - cost : 0.0027005
bgc1d_iteration - cost : 0.002586
bgc1d_iteration - cost : 0.0025133
bgc1d_iteration - cost : 0.0025216
bgc1d_iteration - cost : 0.0025424
bgc1d_iteration - cost : 0.0025018
bgc1d_iteration - cost : 0.0025785
bgc1d_iteration - cost : 0.0023525
bgc1d_iteration - cost : 0.0041703
bgc1d_iteration - cost : 0.0025785
bgc1d_iteration - cost : 0.0025005
bgc1d_iteration - cost : 0.0024993
bgc1d_iteration - cost : 0.014451
bgc1d_iteration - cost : 0.002565
bgc1d_iteration - cost : 0.0024746
bgc1d_iteration - cost : 0.0025188
bgc1d_iteration - cost : 0.002509
bgc1d_iteration - cost : 0.0024494
bgc1d_iteration - cost : 0.0025492
bgc1d_iteration - cost : 0.0025498
bgc1d_iteration - cost : 0.0025237
bgc1d_iteration - cost : 0.002497
bgc1d_iteration - cost : 0.0025375
bgc1d_iteration - cost : 0.0025785
bgc1d_iteration - cost : 0.018491
bgc1d_iteration - cost : 0.0025797
bgc1d_iteration - cost : 0.0024957
bgc1d_iteration - cost : 0.031467
bgc1d_iteration - cost : 0.0025416
bgc1d_iteration - cost : 0.17191
bgc1d_iteration - cost : 0.0024291
bgc1d_iteration - cost : 1020.5319
bgc1d_iteration - cost : 0.0024725
bgc1d_iteration - cost : 0.0043914
bgc1d_iteration - cost : 0.0024412
bgc1d_iteration - cost : 0.0025187
bgc1d_iteration - cost : 0.002501
bgc1d_iteration - cost : 0.0024156
bgc1d_iteration - cost : 0.0025277
bgc1d_iteration - cost : 0.0025025
bgc1d_iteration - cost : 0.0025865
bgc1d_iteration - cost : 0.0026038
bgc1d_iteration - cost : 0.0069277
bgc1d_iteration - cost : 0.0079686
bgc1d_iteration - cost : 0.0025612
bgc1d_iteration - cost : 0.0025024
bgc1d_iteration - cost : 0.011114
bgc1d_iteration - cost : 0.0024972
bgc1d_iteration - cost : 1.1504
bgc1d_iteration - cost : 0.0024942
bgc1d_iteration - cost : 0.002506
bgc1d_iteration - cost : 0.0029055
bgc1d_iteration - cost : 0.011121
bgc1d_iteration - cost : 0.0023977
bgc1d_iteration - cost : 0.0024824
bgc1d_iteration - cost : 0.040895
bgc1d_iteration - cost : 0.002365
bgc1d_iteration - cost : 0.0034161
bgc1d_iteration - cost : 0.0025329
bgc1d_iteration - cost : 0.0025264
bgc1d_iteration - cost : 0.0026794
bgc1d_iteration - cost : 0.0024872
bgc1d_iteration - cost : 0.0024898
bgc1d_iteration - cost : 0.0024891
bgc1d_iteration - cost : 0.0025357
bgc1d_iteration - cost : 0.0030798
bgc1d_iteration - cost : 0.0024605
bgc1d_iteration - cost : 0.0024911
bgc1d_iteration - cost : 0.0027873
bgc1d_iteration - cost : 0.006787
bgc1d_iteration - cost : 0.0025016
bgc1d_iteration - cost : 0.0024656
bgc1d_iteration - cost : 0.0025072
bgc1d_iteration - cost : 0.0025812
bgc1d_iteration - cost : 0.0025129
bgc1d_iteration - cost : 0.0033356
bgc1d_iteration - cost : 0.013947
bgc1d_iteration - cost : 0.002513
bgc1d_iteration - cost : 0.0025082
bgc1d_iteration - cost : 0.0025786
bgc1d_iteration - cost : 0.0025785
bgc1d_iteration - cost : 0.0025122
bgc1d_iteration - cost : 0.0025549
bgc1d_iteration - cost : 0.0031994
bgc1d_iteration - cost : 0.0026116
bgc1d_iteration - cost : 0.0025785
bgc1d_iteration - cost : 0.30207
bgc1d_iteration - cost : 0.0025785
bgc1d_iteration - cost : 0.0024658
bgc1d_iteration - cost : 0.0025786
bgc1d_iteration - cost : 0.0024133
bgc1d_iteration - cost : 0.0025152
bgc1d_iteration - cost : 0.0025737
bgc1d_iteration - cost : 0.0025785
bgc1d_iteration - cost : 0.0025366
bgc1d_iteration - cost : 0.002524
bgc1d_iteration - cost : 0.0025999
bgc1d_iteration - cost : 0.0052427
bgc1d_iteration - cost : 0.002438
bgc1d_iteration - cost : 0.002518
bgc1d_iteration - cost : 0.0025036
bgc1d_iteration - cost : 0.0025064
bgc1d_iteration - cost : 0.0025701
bgc1d_iteration - cost : 0.0025798
bgc1d_iteration - cost : 0.0025523
bgc1d_iteration - cost : 0.0036631
bgc1d_iteration - cost : 0.0024991
bgc1d_iteration - cost : 0.0026592
bgc1d_iteration - cost : 0.0025863
bgc1d_iteration - cost : 0.002502
bgc1d_iteration - cost : 0.0024779
bgc1d_iteration - cost : 0.014133
bgc1d_iteration - cost : 0.0024957
bgc1d_iteration - cost : 0.0025607
bgc1d_iteration - cost : 0.0024682
bgc1d_iteration - cost : 0.0072742
bgc1d_iteration - cost : 0.0025767
bgc1d_iteration - cost : 0.0025608
bgc1d_iteration - cost : 0.0025092
bgc1d_iteration - cost : 0.0024945
bgc1d_iteration - cost : 0.0024984
bgc1d_iteration - cost : 0.0025317
bgc1d_iteration - cost : 0.0025689
bgc1d_iteration - cost : 0.0026009
bgc1d_iteration - cost : 0.0036022
bgc1d_iteration - cost : 0.0025222
bgc1d_iteration - cost : 0.0024993
bgc1d_iteration - cost : 0.002442
bgc1d_iteration - cost : 0.0025093
bgc1d_iteration - cost : 0.0023216
bgc1d_iteration - cost : 0.0025195
bgc1d_iteration - cost : 0.0025035
bgc1d_iteration - cost : 0.0024834
bgc1d_iteration - cost : 0.002416
bgc1d_iteration - cost : 0.002484
bgc1d_iteration - cost : 0.0023972
bgc1d_iteration - cost : 0.0023581
bgc1d_iteration - cost : 0.0025148
bgc1d_iteration - cost : 0.0031404
bgc1d_iteration - cost : 0.0024207
bgc1d_iteration - cost : 32.7001
bgc1d_iteration - cost : 0.0099212
bgc1d_iteration - cost : 0.0039106
bgc1d_iteration - cost : 0.0048451
bgc1d_iteration - cost : 0.0028988
bgc1d_iteration - cost : 0.0024956
bgc1d_iteration - cost : 0.0024951
bgc1d_iteration - cost : 0.0024027
bgc1d_iteration - cost : 0.012522
bgc1d_iteration - cost : 0.0023895
bgc1d_iteration - cost : 0.0032144
bgc1d_iteration - cost : 0.0024994
bgc1d_iteration - cost : 0.002519
bgc1d_iteration - cost : 0.0025717
bgc1d_iteration - cost : 0.0025052
bgc1d_iteration - cost : 0.0036153
bgc1d_iteration - cost : 0.0055036
bgc1d_iteration - cost : 0.0025549
bgc1d_iteration - cost : 271.3533
bgc1d_iteration - cost : 0.0025062
bgc1d_iteration - cost : 0.0025252
bgc1d_iteration - cost : 0.0023495
bgc1d_iteration - cost : 0.002521
bgc1d_iteration - cost : 0.0024008
bgc1d_iteration - cost : 0.0024981
bgc1d_iteration - cost : 0.0025429
bgc1d_iteration - cost : 0.0024869
bgc1d_iteration - cost : 0.0024755
bgc1d_iteration - cost : 0.0025476
bgc1d_iteration - cost : 0.0094116
bgc1d_iteration - cost : 0.010327
bgc1d_iteration - cost : 0.0024655
bgc1d_iteration - cost : 0.0025395
bgc1d_iteration - cost : 0.0024631
bgc1d_iteration - cost : 0.0024822
bgc1d_iteration - cost : 0.0039352
bgc1d_iteration - cost : 0.0097114
bgc1d_iteration - cost : 0.0025548
bgc1d_iteration - cost : 0.0025891
bgc1d_iteration - cost : 0.0026012
bgc1d_iteration - cost : 0.0025231
bgc1d_iteration - cost : 0.0025663
bgc1d_iteration - cost : 0.0025453
bgc1d_iteration - cost : 0.0053594
bgc1d_iteration - cost : 0.0025527
bgc1d_iteration - cost : 0.01078
bgc1d_iteration - cost : 0.0026388
bgc1d_iteration - cost : 0.0025304
bgc1d_iteration - cost : 0.0025214
bgc1d_iteration - cost : 0.0024975
bgc1d_iteration - cost : 0.0024941
bgc1d_iteration - cost : 0.0025126
bgc1d_iteration - cost : 0.0025021
bgc1d_iteration - cost : 0.00251
bgc1d_iteration - cost : 0.0025229
bgc1d_iteration - cost : 0.0025093
bgc1d_iteration - cost : 0.0024798
bgc1d_iteration - cost : 0.0025317
bgc1d_iteration - cost : 0.0025057
bgc1d_iteration - cost : 0.0025773
bgc1d_iteration - cost : 0.0026709
bgc1d_iteration - cost : 0.0024936
bgc1d_iteration - cost : 0.0025508
bgc1d_iteration - cost : 0.0025398
bgc1d_iteration - cost : 0.0023765
bgc1d_iteration - cost : 6157.85
bgc1d_iteration - cost : 0.0025589
bgc1d_iteration - cost : 0.0025697
bgc1d_iteration - cost : 0.0023764
bgc1d_iteration - cost : 0.0024915
bgc1d_iteration - cost : 0.0023807
bgc1d_iteration - cost : 0.0024721
bgc1d_iteration - cost : 0.0025475
bgc1d_iteration - cost : 0.0025715
bgc1d_iteration - cost : 0.0025409
bgc1d_iteration - cost : 0.0025188
bgc1d_iteration - cost : 47734.4784
bgc1d_iteration - cost : 0.0025557
bgc1d_iteration - cost : 0.0025169
bgc1d_iteration - cost : 0.0023106
bgc1d_iteration - cost : 0.0024886
bgc1d_iteration - cost : 0.0025088
bgc1d_iteration - cost : 0.0027507
bgc1d_iteration - cost : 0.0025302
bgc1d_iteration - cost : 0.0025174
bgc1d_iteration - cost : 0.0024846
bgc1d_iteration - cost : 182513.7928
bgc1d_iteration - cost : 0.0025019
bgc1d_iteration - cost : 30.4945
bgc1d_iteration - cost : 0.0025669
bgc1d_iteration - cost : 0.018857
bgc1d_iteration - cost : 0.0035441
bgc1d_iteration - cost : 0.35133
bgc1d_iteration - cost : 0.0041598
