
                            < M A T L A B (R) >
                  Copyright 1984-2019 The MathWorks, Inc.
              R2019b Update 3 (9.7.0.1261785) 64-bit (glnxa64)
                             November 27, 2019

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> 
OptCase =

    'Optimmay4'

>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 13).
>> >> >> >> >> >> >> >> bgc1d_iteration - cost : 0.036089
  n=22: (6,13)-CMA-ES(w=[38 25 17 11 7 3]%, mu_eff=4.0) on function bgc1d_fc2minimize_cmaes_parallel
bgc1d_iteration - cost : 0.036653
bgc1d_iteration - cost : 0.055885
bgc1d_iteration - cost : 0.27967
bgc1d_iteration - cost : 0.036134
bgc1d_iteration - cost : 0.027732
bgc1d_iteration - cost : 0.036054
bgc1d_iteration - cost : 0.036304
bgc1d_iteration - cost : 0.03631
bgc1d_iteration - cost : 0.036147
bgc1d_iteration - cost : 0.036867
bgc1d_iteration - cost : 0.036533
bgc1d_iteration - cost : 0.036319
bgc1d_iteration - cost : 0.03622
Iterat, #Fevals:   Function Value    (median,worst) |Axis Ratio|idx:Min SD idx:Max SD
    1 ,     14 : 2.7732266634080e-02 +(9e-03,3e-01) | 1.03e+00 |  5:2.6e-01  1:2.6e-01
bgc1d_iteration - cost : 0.038229
bgc1d_iteration - cost : 0.04228
bgc1d_iteration - cost : 0.036098
bgc1d_iteration - cost : 4.4747
bgc1d_iteration - cost : 0.12769
bgc1d_iteration - cost : 0.036243
bgc1d_iteration - cost : 0.035859
bgc1d_iteration - cost : 0.037594
bgc1d_iteration - cost : 0.039947
bgc1d_iteration - cost : 0.036063
bgc1d_iteration - cost : 0.039112
bgc1d_iteration - cost : 1.3852
bgc1d_iteration - cost : 0.036114
    2 ,     27 : 3.5859338711376e-02 +(2e-03,4e+00) | 1.04e+00 | 19:2.4e-01 10:2.5e-01
bgc1d_iteration - cost : 0.036316
bgc1d_iteration - cost : 0.036116
